Total_area_contour,Total_perimeter_contour,area_hull,area_total,particles,perimeter_hull,perimeter_total,radius_circle,stickness
12943.5,7.656854153,17724.5,12117.5,68000,496.2799281,1496.535263,90.00340271,0.01
13150,9.656854153,17906.5,12312,69000,499.6153179,1493.949477,91.28536987,0.01
1357.5,5.656854153,1713,1289,7000,156.5208186,305.9898953,29.21054268,0.01
5176,5.656854153,6121.5,5074.5,70000,290.4922627,493.1686085,51.6555481,0.001
13546.5,5.656854153,18454,12684.5,71000,507.6806229,1528.878409,93.52014923,0.01
13705.5,5.656854153,18621,12842,72000,508.7426165,1516.978914,93.52014923,0.01
13861.5,5.656854153,18950.5,13013,73000,513.2095991,1548.233747,94.63756561,0.01
13942,5.656854153,19181.5,13130.5,74000,515.0592182,1608.074367,94.93692017,0.01
14192.5,5.656854153,19418,13337,75000,518.0508785,1594.375883,95.09216309,0.01
14449,11.07106769,19816.5,13542,76000,522.580671,1627.630716,95.72496796,0.01
14670,9.071067691,19982.5,13751.5,77000,525.5732579,1607.103805,96.66446686,0.01
14845,7.656854153,20438,13922,78000,532.0935214,1623.689591,97.94013214,0.01
15000.5,7.656854153,20808,14081,79000,534.9472677,1651.831727,97.9442215,0.01
1576,5.656854153,1981,1489.5,8000,167.3593044,303.4041089,30.91692352,0.01
15187.5,5.656854153,20926,14259.5,80000,537.1567538,1666.902794,98.38709259,0.01
1823,5.656854153,2257.5,1704.5,9000,178.0717031,310.232536,33.0651474,0.01
192.5,5.656854153,263.5,188.5,1000,62.39105773,91.98275506,11.52002907,0.001
1953,5.656854153,2641,1853,10000,193.971962,377.8721452,34.42664337,0.011
2140.5,5.656854153,2823,2025.5,11000,199.6137092,391.9726504,35.87634277,0.011
2345.5,5.656854153,3129.5,2213.5,12000,210.5122104,432.7422024,38.61680603,0.011
2452.5,5.656854153,3425.5,2352,13000,218.6032064,485.754395,39.75560379,0.011
2690.5,5.656854153,3614,2558,14000,224.9287407,485.6122596,40.73399353,0.011
2820.5,5.656854153,3829.5,2708,15000,231.6679871,517.2691138,41.41566467,0.011
3091,5.656854153,4151,2920.5,16000,240.9085313,525.6538898,43.25497437,0.011
3307,5.656854153,4250.5,3112.5,17000,244.2941589,522.4823169,43.57378006,0.011
3487,5.656854153,4545,3285,18000,253.1625508,563.8376553,45.27702332,0.011
3635.5,5.656854153,4767,3448.5,19000,260.8907679,583.1097335,47.50799179,0.011
463,5.656854153,570,429.5,2000,93.41129136,146.2670258,18.06448936,0.011
3802,5.656854153,5040.5,3613.5,20000,267.6062307,633.5361396,48.97203064,0.011
4068,5.656854153,5273.5,3835.5,21000,274.6872081,629.8792855,50.36129379,0.011
4244.5,5.656854153,5559,4012,22000,283.0432776,672.8914781,51.79295731,0.011
4528.5,5.656854153,5906,4254.5,23000,292.4506358,655.678275,54.35311127,0.011
4717.5,5.656854153,6125.5,4435.5,24000,298.3483546,679.7615353,55.6822319,0.011
4947,5.656854153,6337.5,4636,25000,304.7522228,677.3767593,56.38493729,0.011
5144,7.656854153,6820.5,4815,26000,314.6454039,706.6904676,58.14861679,0.011
5237.5,5.656854153,7071.5,4930.5,27000,319.5725518,763.7026602,58.61963654,0.011
5452,5.656854153,7450.5,5117,28000,329.4114172,811.8864257,61.4839325,0.011
5891,5.656854153,7766.5,5430,29000,335.8672897,767.1168737,63.06356049,0.011
641,5.656854153,808.5,601,3000,111.2139602,171.1370831,20.11610794,0.011
6143,5.656854153,8017.5,5644.5,30000,342.4587222,772.5310873,64.56983185,0.011
6413,5.656854153,8424.5,5878,31000,349.8569231,775.602155,65.61450195,0.011
6660,5.656854153,8740.5,6090.5,32000,356.9127245,794.4722122,67.60187531,0.011
6835.5,5.656854153,9007.5,6273.5,33000,362.6190223,816.1290663,68.71872711,0.011
7001,5.656854153,9377.5,6448,34000,369.6265125,841.8864257,70.00188446,0.011
7235.5,5.656854153,9679.5,6669,35000,375.3853427,853.2590091,70.67718506,0.011
7393.5,5.656854153,9995,6835.5,36000,383.9414278,888.2712017,72.47077942,0.011
7642,5.656854153,10215,7055,37000,387.3688492,874.5138423,73.14720917,0.011
7884.5,5.656854153,10532.5,7263,38000,394.2025287,874.3128319,74.86244202,0.011
8045.5,9.071067691,10879,7418.5,39000,400.8727489,896.2123266,76.50009918,0.011
778.5,5.656854153,1042.5,746.5,4000,127.7967083,223.6639944,23.55328941,0.011
8169,5.656854153,11021,7573.5,40000,402.6810566,920.8397433,76.50009918,0.011
8396,5.656854153,11424,7766,41000,409.0604054,953.5676651,76.94163513,0.011
8621.5,5.656854153,11667.5,7953,42000,412.0096434,925.4255297,77.56370544,0.011
8788.5,5.656854153,11858.5,8121.5,43000,417.0439333,944.4965974,78.72483063,0.011
8968.5,5.656854153,12235.5,8306.5,44000,424.873055,956.7808682,80.88100433,0.011
9111.5,5.656854153,12574.5,8461,45000,428.927611,995.6509254,81.30901337,0.011
9235,5.656854153,12860,8600,46000,433.7553165,1058.905759,81.61782837,0.011
9511,5.656854153,12970.5,8821,47000,436.8862319,1029.935196,83.23348999,0.011
9714.5,5.656854153,13191,8995,48000,440.0907744,1043.59205,83.38670349,0.011
9941.5,5.656854153,13680,9203.5,49000,447.706997,1068.462108,84.65465546,0.011
1047,5.656854153,1417.5,966.5,5000,147.2894413,260.4335464,27.01861191,0.011
10057.5,5.656854153,13897.5,9343.5,50000,449.8712171,1099.290535,85.19655609,0.011
10277.5,5.656854153,14247.5,9533.5,51000,455.9532559,1130.604243,85.95507813,0.011
10451,10.48528123,14485,9704,52000,460.1653477,1179.758571,86.04137421,0.011
10572,5.656854153,14692,9860,53000,462.9097799,1211.699696,86.19445038,0.011
10809,7.656854153,15069,10057,54000,467.5682244,1209.214415,86.99606323,0.011
11001,5.656854153,15435,10229.5,55000,475.5178488,1255.741326,89.43785858,0.011
11121,5.656854153,15777.5,10382,56000,478.3888235,1293.640821,89.67648315,0.011
11247.5,5.656854153,16148,10529.5,57000,484.2362818,1346.025597,90.42421722,0.011
11424,5.656854153,16327.5,10698,58000,487.7951621,1399.523071,90.80796051,0.011
11610.5,5.656854153,16590,10885.5,59000,492.488346,1419.221555,92.43079376,0.011
1201,7.656854153,1683,1136,6000,156.6474879,294.676187,28.16971779,0.011
11874,5.656854153,16843,11104.5,60000,497.5059203,1432.878409,93.35360718,0.011
12053,5.656854153,17105,11279,61000,500.7825705,1467.263185,93.94553375,0.011
12256.5,5.656854153,17618,11463.5,62000,506.3945971,1491.505826,94.02641296,0.011
12493,5.656854153,17847.5,11674.5,63000,510.4748616,1490.819534,94.8105545,0.011
12840.5,5.656854153,18240.5,11946.5,64000,515.264883,1450.878409,95.83072662,0.011
13005,5.656854153,18493,12118,65000,521.176888,1507.062175,97.33253479,0.011
13220,5.656854153,18744,12304.5,66000,524.2845854,1511.991107,97.47670746,0.011
13456.5,7.656854153,19006.5,12507,67000,529.3020952,1531.062175,98.22203064,0.011
13591,7.656854153,19403.5,12647,68000,532.7477113,1559.831727,98.75069427,0.011
13791,5.656854153,19612,12845.5,69000,536.8430835,1576.074367,99.69676208,0.011
1460,5.656854153,1875,1342,7000,165.1656308,295.9898953,29.93113136,0.011
5176,5.656854153,6121.5,5074.5,70000,290.4922627,493.1686085,51.6555481,0.001
14134.5,5.656854153,20011.5,13206,71000,542.7775167,1630.601279,100.6971588,0.011
14355,5.656854153,20505.5,13425,72000,547.3542563,1621.145435,101.2037888,0.011
14661.5,5.656854153,20905.5,13664,73000,553.0946162,1601.003299,101.8417435,0.011
14823,5.656854153,21286.5,13832,74000,558.8322212,1633.429706,102.5335617,0.011
15016.5,5.656854153,21527,14023,75000,563.2191603,1647.914987,103.3175735,0.011
15188,5.656854153,21859,14194,76000,566.295687,1680.400268,103.7162018,0.011
15635,5.656854153,22041.5,14504,77000,570.2303578,1606.115997,104.0796509,0.011
15796.5,5.656854153,22145.5,14663,78000,570.9516802,1615.630716,104.6369629,0.011
15961,5.656854153,22448,14817.5,79000,572.893018,1641.187065,105.2240982,0.011
1600.5,5.656854153,2047,1497,8000,169.7822158,322.4751766,30.42273521,0.011
